pCL_name (or CL_name),transcriptome data cluster,TDC_id,pCL_id (or CL_id),definition,part_of (uberon_id),Species_source,Species_ID,part_of (uberon_name),is_a (CL or pCL_id)_parent_ID,is_a (CL or pCL_name)_parent_name,cluster_size (number of cells),f-measure_evidence,marker_gene_evidence,selectively_expresses,selectively_expresses,selectively_expresses,selectively_expresses,selectively_expresses,neuron_type
GABAergic interneuron of the primary motor cortex,,Bakken1,pCL98,,UBERON_0001384,,,, CL_0010011,cerebral cortex GABAergic interneuron,,,,,,,,,GAD
Astro FGFR3 EPHB1,Astro FGFR3 EPHB1,Bakken264,pCL368,"is a marmoset primary motor cortex astrocyte of the cerebral cortex that selectively expresses ETNPPL, and MOXD1, and PLEKHA7 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,CL_0002605,astrocyte of the cerebral cortex,1045,0.428954424,3,ETNPPL,MOXD1,PLEKHA7,,,astro
Astro FGFR3 GFAP,Astro FGFR3 GFAP,Bakken265,pCL369,"is a marmoset primary motor cortex astrocyte of the cerebral cortex that selectively expresses GFAP, and  mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,CL_0002605,astrocyte of the cerebral cortex,332,0.851403061,1,GFAP,,,,,astro
Astro FGFR3 NWD1,Astro FGFR3 NWD1,Bakken266,pCL370,"is a marmoset primary motor cortex astrocyte of the cerebral cortex that selectively expresses CCDC129, and LOC100406856, and LOC108587679, and NWD1, and SLC1A2 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,CL_0002605,astrocyte of the cerebral cortex,3471,0.617709319,5,CCDC129,LOC100406856,LOC108587679,NWD1,SLC1A2,astro
Astro FGFR3 RCN2,Astro FGFR3 RCN2,Bakken267,pCL371,"is a marmoset primary motor cortex astrocyte of the cerebral cortex that selectively expresses BMPR1B, and CCDC129, and FABP7, and MOXD1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,CL_0002605,astrocyte of the cerebral cortex,2187,0.519019987,4,BMPR1B,CCDC129,FABP7,MOXD1,,astro
Endo NOSTRIN CXCL12,Endo NOSTRIN CXCL12,Bakken268,pCL372,"is a marmoset primary motor cortex cerebral cortex endothelial cell that selectively expresses MECOM, and SLC7A5 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,CL_1001602,cerebral cortex endothelial cell,1569,0.822898032,2,MECOM,SLC7A5,,,,endo
Endo NOSTRIN IL1R1,Endo NOSTRIN IL1R1,Bakken269,pCL373,"is a marmoset primary motor cortex cerebral cortex endothelial cell that selectively expresses ADGRG6, and IL1R1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,CL_1001602,cerebral cortex endothelial cell,228,0.690298507,2,ADGRG6,IL1R1,,,,endo
Exc FEZF2 ARSJ,Exc FEZF2 ARSJ,Bakken270,pCL374,"is a Layer 6b marmoset primary motor cortex Glutamatergic neuron that selectively expresses HS3ST4, and THSD4 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL112,Layer 6b neuron,890,0.838160753,2,HS3ST4,THSD4,,,,glut
Exc FEZF2 CRYM,Exc FEZF2 CRYM,Bakken271,pCL375,"is a Layer 5-6 non-pyramidal marmoset primary motor cortex Glutamatergic neuron that selectively expresses CHRM2, and HMCN1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL108,Layer 5-6 non-pyramidal neuron,1011,0.709812109,2,CHRM2,HMCN1,,,,glut
Exc FEZF2 NRP1,Exc FEZF2 NRP1,Bakken272,pCL376,"is a Layer 6 Corticothalamic marmoset primary motor cortex Glutamatergic neuron that selectively expresses HS3ST4, and NRP1 mRNAs",UBERON_0001384,Marmoset,NCBI:txid9483,primary motor cortex,pCL109,Layer 6 Corticothalamic neuron,1195,0.589325426,2,HS3ST4,NRP1,,,,glut
