,ROI,Side,Label,Code,bm_code,zone,type,lvl
0,A1-2,L,A1-2_L,1,10028.0,SSC,Eulaminate III,0.302
1,A10,L,A10_L,2,10043.0,DLP,Eulaminate II,0.529
2,A11,L,A11_L,3,10044.0,OFC,Eulaminate II,0.558
3,A13L,L,A13L_L,4,10047.0,OFC,Eulaminate I,0.472
4,A13M,L,A13M_L,5,10048.0,OFC,Eulaminate I,0.515
5,A13a,L,A13a_L,6,10045.0,OFC,Dysgranular,0.649
6,A13b,L,A13b_L,7,10046.0,OFC,Dysgranular,0.692
7,A14C,L,A14C_L,8,10049.0,MPC,Dysgranular,0.659
8,A14R,L,A14R_L,9,10050.0,MPC,Dysgranular,0.581
9,A19DI,L,A19DI_L,10,10051.0,VIS,Eulaminate III,0.243
10,A19M,L,A19M_L,11,10052.0,VIS,Eulaminate III,0.387
11,A23V,L,A23V_L,12,10056.0,PCR,Eulaminate I,0.405
12,A23a,L,A23a_L,13,10053.0,PCR,Eulaminate I,0.569
13,A23b,L,A23b_L,14,10054.0,PCR,Eulaminate II,0.489
14,A23c,L,A23c_L,15,10055.0,PCR,Eulaminate III,0.375
15,A24a,L,A24a_L,16,10057.0,ACC,Agranular,
16,A24b,L,A24b_L,17,10058.0,ACC,Dysgranular,0.544
17,A24c,L,A24c_L,18,10059.0,ACC,Dysgranular,0.455
18,A24d,L,A24d_L,19,10060.0,ACC,Dysgranular,0.572
19,A25,L,A25_L,20,10061.0,MPC,Dysgranular,0.632
20,A29a-c,L,A29a-c_L,21,10062.0,PCR,Agranular,
21,A29d,L,A29d_L,22,10063.0,PCR,Agranular,0.446
22,A30,L,A30_L,23,10064.0,PCR,Dysgranular,0.434
23,A31,L,A31_L,24,10065.0,PCR,Eulaminate II,0.314
24,A32,L,A32_L,25,10066.0,MPC,Dysgranular,0.593
25,A32V,L,A32V_L,26,10067.0,MPC,Dysgranular,0.554
26,A35,L,A35_L,27,10068.0,VTC,Agranular,
27,A36,L,A36_L,28,10069.0,VTC,Eulaminate I,0.78
28,A3a,L,A3a_L,29,10029.0,SSC,Eulaminate II,0.351
29,A3b,L,A3b_L,30,10030.0,SSC,Koniocortex,0.42
30,A45,L,A45_L,31,10070.0,VLP,Eulaminate II,0.4
31,A46D,L,A46D_L,32,10071.0,DLP,Eulaminate II,0.557
32,A46V,L,A46V_L,33,10072.0,DLP,Eulaminate II,0.321
33,A47L,L,A47L_L,34,10073.0,VLP,Eulaminate II,0.5
34,A47M,L,A47M_L,35,10074.0,VLP,Eulaminate II,0.396
35,A47O,L,A47O_L,36,10075.0,VLP,Eulaminate I,0.55
36,A4ab,L,A4ab_L,37,10031.0,PRM,Eulaminate II,0.5
37,A4c,L,A4c_L,38,10032.0,PRM,Eulaminate II,0.598
38,A6DC,L,A6DC_L,39,10033.0,PRM,Eulaminate I,0.581
39,A6DR,L,A6DR_L,40,10034.0,PRM,Eulaminate I,0.646
40,A6M,L,A6M_L,41,10035.0,PRM,Eulaminate I,0.627
41,A6Va,L,A6Va_L,42,10036.0,PRM,Eulaminate I,0.708
42,A6Vb,L,A6Vb_L,43,10037.0,PRM,Eulaminate I,0.464
43,A8C,L,A8C_L,44,10041.0,PRM,Eulaminate II,0.555
44,A8aD,L,A8aD_L,45,10038.0,DLP,Eulaminate II,0.623
45,A8aV,L,A8aV_L,46,10039.0,DLP,Eulaminate III,0.489
46,A8b,L,A8b_L,47,10040.0,DLP,Eulaminate II,0.548
47,A9,L,A9_L,48,10042.0,DLP,Eulaminate II,0.437
48,AI,L,AI_L,50,10026.0,INS,Agranular,1.0
49,AIP,L,AIP_L,51,10027.0,PPC,Eulaminate II,0.513
50,AuA1,L,AuA1_L,54,10081.0,AUD,Koniocortex,0.267
51,AuAL,L,AuAL_L,55,10076.0,AUD,Eulaminate II,0.285
52,AuCL,L,AuCL_L,56,10077.0,AUD,Eulaminate III,0.455
53,AuCM,L,AuCM_L,57,10078.0,AUD,Koniocortex,0.268
54,AuCPB,L,AuCPB_L,58,10079.0,AUD,Eulaminate I,0.602
55,AuML,L,AuML_L,59,10080.0,AUD,Eulaminate II,0.418
56,AuR,L,AuR_L,60,10082.0,AUD,Koniocortex,0.19
57,AuRM,L,AuRM_L,61,10084.0,AUD,Eulaminate II,0.145
58,AuRPB,L,AuRPB_L,62,10083.0,AUD,Eulaminate I,0.561
59,AuRT,L,AuRT_L,63,10087.0,AUD,Eulaminate III,0.312
60,AuRTL,L,AuRTL_L,64,10085.0,AUD,Eulaminate II,0.439
61,AuRTM,L,AuRTM_L,65,10086.0,AUD,Eulaminate II,0.451
62,DI,L,DI_L,67,10088.0,INS,Dysgranular,0.567
63,Ent,L,Ent_L,70,10089.0,VTC,Agranular,
64,FST,L,FST_L,71,10091.0,VIS,Eulaminate II,0.249
65,GI,L,GI_L,72,10092.0,INS,Eulaminate I,0.419
66,Gu,L,Gu_L,73,10093.0,OFC,Eulaminate I,0.788
67,IPro,L,IPro_L,75,10095.0,INS,Dysgranular,0.611
68,LIP,L,LIP_L,76,10096.0,PPC,Eulaminate II,0.496
69,MIP,L,MIP_L,79,10097.0,PPC,Eulaminate II,0.464
70,MST,L,MST_L,81,10098.0,VIS,Eulaminate II,0.42
71,OPAl,L,OPAl_L,83,10101.0,OFC,Agranular,0.665
72,OPro,L,OPro_L,84,10102.0,OFC,Dysgranular,0.815
73,OPt,L,OPt_L,85,10100.0,PPC,Eulaminate II,0.439
74,PE,L,PE_L,87,10106.0,PPC,Eulaminate II,0.366
75,PEC,L,PEC_L,88,10107.0,PPC,Eulaminate II,0.376
76,PF,L,PF_L,89,10108.0,PPC,Eulaminate II,0.426
77,PFG,L,PFG_L,90,10109.0,PPC,Eulaminate II,0.542
78,PG,L,PG_L,91,10110.0,PPC,Eulaminate II,0.538
79,PGM,L,PGM_L,92,10112.0,PCR,Eulaminate II,0.481
80,PGa-IPa,L,PGa-IPa_L,93,10111.0,LIT,Eulaminate II,0.367
81,PaIL,L,PaIL_L,96,10103.0,INS,Dysgranular,0.63
82,PaIM,L,PaIM_L,97,10104.0,INS,Dysgranular,0.609
83,Pir,L,Pir_L,100,10113.0,PirC,Agranular,
84,ProM,L,ProM_L,103,10118.0,VLP,Eulaminate I,0.596
85,ProSt,L,ProSt_L,104,10119.0,PCR,Agranular,0.301
86,ReI,L,ReI_L,105,10121.0,INS,Eulaminate II,0.288
87,S2E,L,S2E_L,106,10122.0,SSC,Eulaminate II,0.446
88,S2I,L,S2I_L,107,10123.0,SSC,Eulaminate II,0.249
89,S2PR,L,S2PR_L,108,10124.0,SSC,Eulaminate II,0.541
90,S2PV,L,S2PV_L,109,10125.0,SSC,Eulaminate II,0.378
91,STR,L,STR_L,111,10126.0,AUD,Eulaminate I,0.595
92,TE1,L,TE1_L,112,10128.0,LIT,Eulaminate I,0.748
93,TE2,L,TE2_L,113,10129.0,LIT,Eulaminate II,0.645
94,TE3,L,TE3_L,114,10130.0,LIT,Eulaminate II,0.482
95,TEO,L,TEO_L,115,10131.0,LIT,Eulaminate II,0.353
96,TF,L,TF_L,116,10132.0,VTC,Dysgranular,0.881
97,TFO,L,TFO_L,117,10133.0,VTC,Eulaminate I,0.51
98,TH,L,TH_L,118,10134.0,VTC,Agranular,0.715
99,TL,L,TL_L,119,10135.0,VTC,Eulaminate I,0.98
100,TLO,L,TLO_L,120,10136.0,VTC,Eulaminate I,0.568
101,TPO,L,TPO_L,121,10138.0,LIT,Eulaminate II,0.478
102,TPPro,L,TPPro_L,122,10139.0,LIT,Dysgranular,0.585
103,TPro,L,TPro_L,123,10137.0,INS,Dysgranular,0.469
104,TPt,L,TPt_L,124,10140.0,AUD,Eulaminate II,0.288
105,V1,L,V1_L,126,10142.0,VIS,Koniocortex,0.0
106,V2,L,V2_L,127,10143.0,VIS,Eulaminate III,0.174
107,V3,L,V3_L,128,10144.0,VIS,Eulaminate III,0.254
108,V3A,L,V3A_L,129,10145.0,VIS,Eulaminate III,0.345
109,V4,L,V4_L,130,10146.0,VIS,Eulaminate III,0.396
110,V4T,L,V4T_L,131,10147.0,VIS,Eulaminate II,0.254
111,V5,L,V5_L,132,10148.0,VIS,Eulaminate II,0.288
112,V6,L,V6_L,133,10149.0,VIS,Eulaminate II,0.273
113,V6A,L,V6A_L,134,10150.0,VIS,Eulaminate II,0.187
114,VIP,L,VIP_L,135,10141.0,PPC,Eulaminate II,0.423
115,A1-2,R,A1-2_R,1001,28.0,SSC,Eulaminate III,0.302
116,A10,R,A10_R,1002,43.0,DLP,Eulaminate II,0.529
117,A11,R,A11_R,1003,44.0,OFC,Eulaminate II,0.558
