,id,Age,Sex
0,1,1.88,1
1,2,1.88,1
2,3,2.0,1
3,4,2.01,1
4,5,2.12,1
5,6,2.17,1
6,7,2.0,1
7,8,1.98,1
8,9,9.59,1
9,10,9.72,1
10,11,10.05,0
11,12,7.89,1
12,13,8.72,1
13,14,8.56,1
14,15,3.28,1
15,16,7.88,1
16,17,5.94,1
17,18,4.05,0
18,19,3.81,1
19,20,3.88,1
20,21,5.42,0
21,22,3.58,1
22,23,3.98,0
23,24,5.96,1
24,25,4.02,0
25,26,3.43,0
26,27,4.75,0
27,28,3.06,1
28,29,2.65,1
29,30,2.57,1
30,31,2.62,0
31,32,5.62,0
32,33,4.18,0
33,34,2.6,0
34,35,3.52,0
35,36,2.19,1
36,37,9.69,1
37,38,3.52,0
38,39,3.69,0
39,40,5.42,0
40,41,3.93,1
41,42,2.28,1
42,43,2.29,1
43,44,3.15,0
44,45,2.75,1
45,46,5.13,0
46,47,2.75,1
47,48,2.99,0
48,49,2.5,0
49,50,2.5,0
50,51,5.23,0
51,52,5.17,0
52,53,5.07,0
53,54,5.48,1
54,55,6.3,1
55,56,6.07,1
56,57,2.75,0
57,58,6.73,0
58,59,2.98,1
59,60,1.11,1
60,61,6.28,0
61,62,4.49,0
62,63,3.79,0
63,64,1.89,0
64,65,2.36,0
65,66,8.1,1
66,67,6.92,0
67,68,6.3,0
68,69,2.75,0
69,70,2.4,0
70,71,6.04,0
71,72,1.95,1
72,73,4.78,0
73,74,2.4,0
74,75,3.91,0
75,76,4.96,0
76,77,7.04,1
77,78,3.11,1
78,79,3.11,1
79,80,3.6,0
80,81,2.41,1
81,82,3.59,1
82,83,3.08,1
83,84,7.87,0
84,85,4.33,1
85,86,1.37,0
86,87,5.04,0
87,88,9.52,0
88,89,9.13,0
89,90,1.81,1
90,91,1.38,0
91,92,1.76,1
92,93,2.24,0
93,94,4.76,0
94,95,4.61,0
95,96,3.3,1
96,97,2.53,1
97,98,3.18,1
98,99,4.94,1
99,100,1.96,0
100,101,2.02,1
101,102,2.45,1
102,103,2.94,0
103,104,7.96,0
104,105,6.99,0
105,106,4.07,0
106,107,1.13,0
107,108,3.0,1
108,109,3.0,0
109,110,2.45,0
110,111,2.42,0
111,112,2.45,1
112,113,4.04,0
113,114,2.44,0
114,115,2.84,0
115,116,2.22,0
116,117,9.19,1
117,118,7.95,1
118,119,7.19,0
119,120,3.23,0
120,121,2.41,0
121,122,5.87,0
122,123,8.33,1
123,124,8.27,1
124,125,10.01,0
125,126,9.38,0
126,127,7.07,0
127,128,10.02,0
128,129,3.98,0
129,130,2.14,1
130,131,10.31,0
131,132,7.53,0
132,133,7.54,0
133,134,6.45,0
134,135,6.46,0
135,136,8.62,1
136,137,2.18,0
137,138,9.15,0
138,139,6.17,0
139,140,5.5,0
140,141,3.98,0
141,142,6.95,1
142,143,0.98,1
143,144,2.16,1
144,145,2.11,1
145,146,1.9,1
146,147,2.02,1
147,148,2.02,0
148,149,1.73,1
149,150,1.79,1
150,151,1.94,0
151,152,8.66,0
152,153,8.15,0
153,154,7.98,0
154,155,6.84,0
155,156,9.58,0
156,157,1.88,1
157,158,1.78,0
158,159,8.77,0
159,160,7.86,0
160,161,7.45,0
161,162,7.28,0
162,163,7.33,0
163,164,5.8,0
164,165,0.97,1
165,166,0.97,1
166,167,1.47,0
167,168,1.83,0
168,169,2.01,1
169,170,1.99,0
170,171,3.99,0
171,172,2.47,0
172,173,3.01,0
173,174,3.29,0
174,175,3.3,0
175,176,7.93,0
176,177,7.02,0
177,178,7.02,0
178,179,4.62,0
179,180,3.67,1
180,181,3.51,0
181,182,2.28,1
182,183,2.24,1
183,184,2.63,0
184,185,2.72,1
185,186,5.41,0
186,187,0.99,0
187,188,2.64,1
188,189,3.19,1
189,190,4.07,1
190,191,0.99,1
191,192,3.83,1
192,193,3.41,1
193,194,0.98,1
194,195,3.82,1
195,196,1.0,1
196,197,1.0,1
197,198,9.04,0
198,199,3.89,0
199,200,3.21,1
200,201,5.15,1
201,202,0.99,0
202,203,8.56,0
203,204,6.56,0
204,205,6.43,0
205,206,5.89,0
206,207,3.44,0
207,208,2.53,0
208,209,2.43,0
209,210,9.54,0
210,211,8.24,0
211,212,2.26,1
212,213,0.98,0
213,214,1.06,1
214,215,0.98,1
215,216,6.57,0
216,226,6.25,1
217,227,6.75,1
218,228,11.42,0
219,229,10.67,1
220,230,5.13,1
221,231,10.98,0
222,232,8.95,0
223,233,9.24,0
224,234,9.39,1
225,235,11.65,1
226,236,6.14,1
227,237,4.79,0
228,238,6.15,0
229,239,6.19,1
230,240,5.91,0
231,241,4.63,0
232,242,4.68,0
233,243,5.85,1
234,244,4.28,0
235,245,5.1,1
236,246,4.05,0
237,247,5.21,1
238,248,5.41,1
239,249,7.09,0
240,250,3.95,0
241,251,4.05,0
242,252,4.01,0
243,253,4.6,1
244,254,4.13,0
245,255,5.49,1
246,256,3.77,0
247,257,5.53,0
248,258,4.85,1
249,259,4.84,1
250,260,4.08,1
251,261,3.99,0
252,262,4.91,1
253,263,3.64,1
254,264,3.18,1
255,265,4.32,0
256,266,4.22,0
257,267,3.61,0
258,268,3.38,0
259,269,4.1,1
260,270,3.5,1
261,271,6.05,0
262,272,4.65,0
263,273,2.63,1
264,274,3.28,0
265,275,4.39,1
266,276,3.31,0
267,277,3.39,1
268,278,3.43,1
269,279,2.96,0
270,280,3.94,1
271,281,3.98,0
272,282,5.75,1
273,283,1.07,1
274,284,2.55,1
275,285,3.56,0
276,286,4.62,1
277,287,2.22,0
278,288,3.11,0
279,289,2.53,1
280,290,3.11,0
281,291,2.18,1
282,292,3.69,1
283,293,3.01,1
284,294,2.42,1
285,295,1.98,1
286,296,3.48,0
287,297,2.94,1
288,298,3.13,0
289,299,2.35,0
290,300,3.49,0
291,301,3.94,0
292,302,3.93,1
293,303,2.68,1
294,304,2.04,0
295,305,2.35,0
296,306,2.01,0
297,307,1.7,1
298,308,1.81,1
299,309,1.89,0
300,310,1.7,1
301,311,2.9,0
302,312,2.74,0
303,313,1.51,0
304,314,2.38,0
305,315,2.45,0
306,316,2.45,0
307,317,2.32,0
308,318,1.45,0
309,319,3.77,0
310,320,2.29,1
311,321,2.17,1
312,322,2.42,0
313,323,2.29,1
314,324,2.37,0
315,325,2.85,1
316,326,3.75,0
317,327,3.39,1
318,328,1.43,1
319,329,1.36,0
320,330,2.84,0
