,A1-2,A10,A11,A19DI,A19M,A23a,A23b,A23c,A24d,A32,A32V,A3a,A3b,A45,A46D,A47L,A4ab,A4c,A6DC,A6DR,A6M,A6Va,A8C,A8aD,A8aV,A8b,A9,AIP,AuA1,AuCM,AuCPB,AuML,AuRT,LIP,MIP,MST,OPt,PE,PEC,PF,PFG,PG,PGM,PGa-IPa,S2E,TE3,TEO,TPO,V1,V2,V3A,V4,V4T,V5,V6
A1-2,0.0,-4.71762058122685,-4.05304000864267,-3.87961190706566,-inf,-3.20532038723096,-2.9086465101603,-1.75589120558336,-2.55054844653828,-inf,-inf,-1.00042232430072,-0.298301856180935,-2.80465942744318,-inf,-2.85242867025683,-1.13415586165803,-0.910908615750426,-1.48405015797726,-3.16629695132111,-2.205720353458,-0.931022000311772,-3.44947342242739,-inf,-2.91825507091766,-2.96456464149683,-inf,-2.80011322609149,-inf,-2.38391790274959,-inf,-4.30885186845496,-4.20635214278935,-inf,-inf,-3.41327181630416,-3.51137505093198,-0.629100558683917,-4.39653061009015,-0.813578993191383,-1.33858859246397,-2.84708891584148,-4.50877204827063,-2.7552076633159,-0.765718891906568,-inf,-inf,-4.30094312808055,-inf,-inf,-inf,-inf,-3.83084519230753,-3.52188493596412,-inf
A10,-inf,0.0,-0.422815597890192,-inf,-3.22891340599465,-2.32439050716582,-2.87392215163778,-inf,-inf,-1.07326231992542,-0.561283912995987,-inf,-inf,-1.72738717120278,-0.522482920710418,-1.05198292627157,-inf,-inf,-inf,-2.49859573279928,-inf,-3.13930329279061,-4.24186511192557,-1.52859219402373,-2.50320500178752,-1.79371013146594,-1.13094755816592,-2.34080918610346,-inf,-2.41669837164726,-1.94351391314549,-1.74917100371049,-4.0498474309564,-inf,-inf,-inf,-3.97950284878841,-inf,-inf,-inf,-3.24895361549582,-3.19359795560335,-3.14606799081558,-1.78323638691779,-3.21634863916121,-1.34878346149972,-inf,-1.46937494936921,-inf,-inf,-inf,-3.83297087720627,-inf,-inf,-inf
A11,-inf,-1.20925472439939,0.0,-inf,-2.08278537031631,-1.89213406184478,-3.19136123041335,-inf,-4.43578068177264,-2.19163728703161,-1.35523473508516,-inf,-inf,-2.22009016827453,-2.37918910454209,-1.60124689346226,-inf,-inf,-inf,-2.39775319748573,-3.70825088859129,-3.61642454750968,-3.31758582586362,-1.66560503434832,-2.84696574800274,-2.04804205337777,-1.40876930744783,-2.32299276543659,-inf,-inf,-inf,-3.27583765254726,-inf,-4.05292468370774,-inf,-3.71430181196814,-3.89340755055297,-inf,-inf,-inf,-4.10109376673687,-3.38529150891513,-2.42167371796154,-3.1142296059577,-inf,-1.50132681017544,-3.91065997218625,-2.93844735088122,-inf,-inf,-inf,-3.75993549732813,-inf,-inf,-inf
A19DI,-inf,-inf,-inf,0.0,-2.27467089655557,-1.84331130989553,-3.33341193906151,-inf,-inf,-inf,-inf,-inf,-inf,-2.84037497970758,-inf,-2.08017049351693,-inf,-inf,-inf,-2.98566135831629,-inf,-inf,-2.9865926068237,-inf,-2.1863878633495,-inf,-inf,-2.81480124437662,-inf,-inf,-inf,-inf,-inf,-1.29250220028478,-1.91149052901722,-3.5893630753604,-1.67555126937827,-inf,-inf,-inf,-inf,-2.71798566031658,-3.25349954316748,-inf,-inf,-inf,-3.10902762595308,-inf,-1.51476768222443,-1.33610533823332,-1.26872414237024,-1.87134335655764,-1.98775829046306,-2.09325683623932,-1.57256296571553
A19M,-inf,-inf,-inf,-inf,0.0,-1.56185002513022,-1.38542833488232,-inf,-inf,-inf,-inf,-4.47622278405103,-inf,-inf,-2.58805473136989,-2.87682966653177,-4.23337690347371,-inf,-inf,-2.13330134016808,-inf,-3.00612084353289,-2.44382838401805,-2.25319297313259,-1.84666319917167,-3.01980773791349,-inf,-2.4437437455692,-inf,-3.40510720181911,-inf,-3.13888896817716,-inf,-1.80788725644862,-inf,-1.51932520875275,-2.03677050638372,-inf,-1.42898263387174,-inf,-2.37716446585633,-1.67927935924934,-0.699025691140248,-inf,-3.85937850442629,-3.79965819614153,-inf,-2.09330602073247,-1.77968720127298,-1.83947843326503,-2.04831229870919,-1.77595741309297,-4.03666881029995,-1.33026434437028,-2.09882102732272
A23a,-3.06541371587998,-2.39920959418093,-2.75201001297967,-3.87961190706566,-1.81394005802276,0.0,-0.839254551393359,-1.1559332083212,-1.58862061304084,-inf,-3.91812211638066,-2.83043795550774,-inf,-4.38444302405861,-1.47479844942004,-2.3567982071165,-2.24394857947103,-3.3718064585072,-2.32091743448005,-1.72472118906801,-1.88697707039552,-2.80541577662527,-2.62908125520552,-1.10437070029657,-3.26147634866881,-1.53640772569988,-1.38954960123997,-3.15353505794177,-inf,-2.31697111311883,-inf,-2.01781565396387,-4.71048969975176,-1.58955751322567,-inf,-2.51932520875275,-2.61585223741325,-2.31510558585568,-4.09550061442617,-3.57184187752655,-1.84993995211941,-2.14426320270217,-1.10814341780666,-3.18117639558851,-1.85415964058422,-2.68426278589207,-inf,-1.65433519825764,-inf,-3.67646497340869,-3.86840930331341,-4.57364892032592,-4.13187518797268,-inf,-3.80037335489208
A23b,-3.24150497493541,-3.47033313683642,-3.17797874525097,-inf,-1.22459203221228,-0.833501378370116,0.0,-0.622736216082018,-1.12499390262597,-inf,-4.2191521120432,-1.92632899773649,-inf,-3.78238303273065,-2.05146142512493,-2.47501591412254,-1.52959763187556,-inf,-1.79537686568497,-1.11580648900507,-2.04651736833013,-2.51785626842067,-1.9908759162442,-0.955583260923323,-2.61323775570077,-2.14323801717513,-2.97501033074677,-2.98682443997959,-inf,-2.83690547775319,-inf,-2.85070296236889,-4.71048969975176,-2.84185179559752,-inf,-2.79348305801666,-2.5982227265848,-2.29028200213084,-2.17122132836397,-inf,-1.3085800837958,-2.12853707500237,-0.863585415204108,-inf,-1.53169445510996,-4.36285930295885,-inf,-2.09704565182939,-inf,-5.33494205782175,-inf,-inf,-inf,-3.30417588193035,-inf
A23c,-3.38283412773217,-inf,-4.35407000430665,-inf,-inf,-3.07177028411716,-2.38289292318052,0.0,-1.15645371900131,-inf,-inf,-2.04836827416236,-inf,-3.15399410268065,-4.07941642520359,-inf,-1.74171370069689,-inf,-2.77035391637472,-3.32937358744449,-2.54549602709975,-inf,-3.14149456680824,-3.84781934729647,-4.02857125269253,-3.84953259029044,-inf,-inf,-inf,-4.22901594276343,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.52852116793583,-inf,-inf,-3.24895361549582,-inf,-4.50877204827063,-inf,-2.10857605997411,-inf,-inf,-4.22029118566482,-inf,-inf,-inf,-inf,-inf,-inf,-inf
A24d,-3.49677748003932,-4.34740808371224,-inf,-inf,-inf,-4.52753968196502,-2.32033376663848,-1.35534951059034,0.0,-inf,-inf,-1.79584025744686,-inf,-inf,-inf,-4.53377205838488,-1.04803559027006,-inf,-1.77806984379435,-2.84048085166288,-0.95504230865325,-2.89091725632214,-3.94083511626008,-2.48453915593132,-inf,-1.78129512962409,-3.75316158113124,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-2.1305811592632,-inf,-inf,-inf,-5.03716743774247,-inf,-3.95932764597083,-2.26527851469601,-inf,-inf,-4.30094312808055,-inf,-inf,-inf,-inf,-inf,-inf,-inf
A32,-inf,-1.10597759478374,-1.29564397985004,-inf,-inf,-2.98347163761391,-3.82933038689757,-inf,-4.13475068610865,0.0,-0.831762285704142,-4.0913855420782,-inf,-3.9073217693407,-1.81816211722788,-3.11253485497297,-inf,-inf,-inf,-3.30302011648472,-inf,-inf,-4.94083511626008,-inf,-3.19815958517404,-0.851044773732095,-0.712954953558814,-inf,-inf,-inf,-inf,-3.64381443784186,-inf,-inf,-inf,-inf,-4.28053284445156,-inf,-inf,-4.4169399175408,-inf,-inf,-inf,-3.95932764597083,-4.33029199146826,-2.12686524449443,-inf,-3.38691374050128,-inf,-inf,-inf,-inf,-inf,-inf,-inf
A32V,-inf,-1.45977674475173,-1.57882374456637,-inf,-inf,-3.52753968196502,-4.89661439016041,-inf,-4.43578068177264,-1.15687518077178,0.0,-inf,-inf,-inf,-3.68147641653051,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3.54987599921811,-2.10480157015133,-inf,-inf,-inf,-inf,-4.12093569256094,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-2.93924877433664,-inf,-3.57575095694338,-inf,-inf,-inf,-inf,-inf,-inf,-inf
