,predictor,fold,mae,partial_r
0,KNN degree,1,0.2898737801291055,0.6562409601600399
1,KNN degree,2,0.3295323926941836,0.7159371262487707
2,KNN degree,3,0.28457473856237897,0.7763512937615347
3,KNN degree,4,0.3893622708798261,0.6582092504808837
4,KNN degree,5,0.33961960173820954,0.7357825701329435
5,KNN degree,6,0.36364264180592676,0.6895907648862984
6,KNN degree,7,0.33359052360517855,0.7501793492754485
7,KNN degree,8,0.362832682786134,0.7606845661765589
8,KNN degree,9,0.2976339561672522,0.6081228520232808
9,KNN degree,10,0.3362979621286922,0.5589466638091948
10,KNN degree,11,0.29590349413752537,0.7548706817588112
11,KNN degree,12,0.3349756940315338,0.7195436974266828
12,KNN degree,13,0.36756239582283273,0.7463556271227136
13,KNN degree,14,0.2919977969090458,0.6984015495022321
14,KNN degree,15,0.3682421184467182,0.7353189500047864
15,KNN degree,16,0.32065607408596514,0.5833009278205332
16,KNN degree,17,0.44642396503570936,0.7490106685246716
17,KNN degree,18,0.2963477867232052,0.8072752129878642
18,KNN degree,19,0.2859040773583136,0.7825101247461395
19,KNN degree,20,0.31387097501170524,0.611444749448153
20,KNN degree,21,0.36330849058146686,0.8212365431041201
21,KNN degree,22,0.29113778937251117,0.7427540445732329
22,KNN degree,23,0.35734723928358364,0.6803794874112229
23,KNN degree,24,0.30858551627036884,0.6262927811927119
24,KNN degree,25,0.31414394028149967,0.6649765179243723
25,KNN degree,26,0.33840265167027955,0.6672371466637005
26,KNN degree,27,0.27424843136104604,0.6352444084690687
27,KNN degree,28,0.28814429706332134,0.748289869699646
28,KNN degree,29,0.3876245020232575,0.6524165359633778
29,KNN degree,30,0.3823392559605237,0.6798695129650965
30,KNN degree,31,0.32971015321921415,0.6292827308283826
31,KNN degree,32,0.34343368346871206,0.7128825023802604
32,KNN degree,33,0.32320660939375156,0.7016430531581103
33,KNN degree,34,0.33904938296070614,0.6494391836136547
34,KNN degree,35,0.32422409784940787,0.6682212860448165
35,KNN degree,36,0.35530514511062183,0.6266287917586473
36,KNN degree,37,0.31212532258034215,0.7820476531113159
37,KNN degree,38,0.2845657379355087,0.6815970275069229
38,KNN degree,39,0.3609163781518403,0.7061192716111194
39,KNN degree,40,0.332912137983075,0.7229557054791874
40,KNN degree,41,0.3036299050629489,0.7469693523735262
41,KNN degree,42,0.3615524503172323,0.8298698686606594
42,KNN degree,43,0.35404967570708956,0.5782898056085902
43,KNN degree,44,0.31995061771452443,0.6321481254485414
44,KNN degree,45,0.3093664683034329,0.6155293333858753
45,KNN degree,46,0.4037170727515299,0.6448301118052863
46,KNN degree,47,0.32345307673433704,0.7158633870352061
47,KNN degree,48,0.2992762804885255,0.7539904467403648
48,KNN degree,49,0.2708492081544446,0.713182146722401
49,KNN degree,50,0.3437948096395703,0.5950459687489538
50,hist degree,1,0.29073816967189064,0.7249394671947438
51,hist degree,2,0.34482273002328273,0.6497812532124567
52,hist degree,3,0.2832200628994198,0.7423638208605278
53,hist degree,4,0.431712526992956,0.5761103039227912
54,hist degree,5,0.3889133688604184,0.5258883783046332
55,hist degree,6,0.3417243182404449,0.6647466987443186
56,hist degree,7,0.34861359500267847,0.7361056308244236
57,hist degree,8,0.4192369194112429,0.7093308919197702
58,hist degree,9,0.30009920204542356,0.5608208905190314
59,hist degree,10,0.3373384878569216,0.5398330181602848
60,hist degree,11,0.3570476832059343,0.5920091365336743
61,hist degree,12,0.3633499450454646,0.6763643351296633
62,hist degree,13,0.34877015885406515,0.7404161802179979
63,hist degree,14,0.34796326549643836,0.5155956891723918
64,hist degree,15,0.3682840473885632,0.6887390776023223
65,hist degree,16,0.33496522484606484,0.4982621737195616
66,hist degree,17,0.45483739172766363,0.743395754251915
67,hist degree,18,0.3504470051823574,0.6869809440059907
68,hist degree,19,0.3101606929872091,0.6887560779780694
69,hist degree,20,0.31669103495872697,0.6073623691994869
70,hist degree,21,0.3926194897760113,0.7132944816715538
71,hist degree,22,0.32531674669014277,0.6706148257750341
72,hist degree,23,0.34927486889707754,0.714244656362814
73,hist degree,24,0.34432338785994904,0.5643748682905338
74,hist degree,25,0.3354066557542678,0.5960107957426031
75,hist degree,26,0.3271926366734572,0.6508873517947993
76,hist degree,27,0.30243692251586785,0.4457497474595999
77,hist degree,28,0.31273698230473784,0.75738223702719
78,hist degree,29,0.3944254575746068,0.6694592302413374
79,hist degree,30,0.42488241546946093,0.6106111711417136
80,hist degree,31,0.3538772180281018,0.5070988715372606
81,hist degree,32,0.3718606987876536,0.6653367433268276
82,hist degree,33,0.3363016476308799,0.6084380278202222
83,hist degree,34,0.3582117567981935,0.7069816573276649
84,hist degree,35,0.3374351787898211,0.6117374287175494
85,hist degree,36,0.3653587529175531,0.5159206515922008
86,hist degree,37,0.3330830942280431,0.6723170623120738
87,hist degree,38,0.30973555565255645,0.7152153977238409
88,hist degree,39,0.38904600919700527,0.70785360092481
89,hist degree,40,0.34785709551229654,0.6609102567008743
90,hist degree,41,0.33818496467489245,0.6289148643062424
91,hist degree,42,0.41187562238829123,0.7663982082010463
92,hist degree,43,0.36030212588099314,0.5999399891454195
93,hist degree,44,0.32060404787544383,0.6588049912237952
94,hist degree,45,0.3299872535387638,0.5461309130553824
95,hist degree,46,0.4357873956041204,0.5670595516663167
96,hist degree,47,0.3169714964670548,0.7636006085732084
97,hist degree,48,0.3231216495962901,0.7046678902376156
98,hist degree,49,0.303561026161403,0.6633873124529208
99,hist degree,50,0.3496435761396378,0.5782049326560005
100,KNN edge,1,0.2763418417622671,0.6505531910194081
101,KNN edge,2,0.28068441068638506,0.7411742339274614
102,KNN edge,3,0.2519571098055916,0.7634777719868252
103,KNN edge,4,0.3281777774519656,0.6823014574229074
104,KNN edge,5,0.27556684213328037,0.8098516301162704
105,KNN edge,6,0.29216895467922427,0.7869344022527072
106,KNN edge,7,0.28978880683620173,0.7721205012258681
107,KNN edge,8,0.3279294051648221,0.7177135806158892
108,KNN edge,9,0.27180116520576786,0.7135027233052977
109,KNN edge,10,0.28678148684762017,0.6804869615642704
110,KNN edge,11,0.27673876591381297,0.7006458828965844
111,KNN edge,12,0.29096083125888006,0.7431715940485564
112,KNN edge,13,0.2708089315795257,0.766558210449153
113,KNN edge,14,0.317438771253818,0.6076243595223569
114,KNN edge,15,0.29324469468321546,0.7726779359303164
115,KNN edge,16,0.2889389610959593,0.6236862909286902
116,KNN edge,17,0.36576316262471276,0.7202768467579606
117,KNN edge,18,0.230546716518151,0.8164435438294935
118,KNN edge,19,0.27650552298778486,0.8009610682592943
119,KNN edge,20,0.262817386836307,0.7277855534775275
120,KNN edge,21,0.3191324055592502,0.8487665639344845
121,KNN edge,22,0.24871003218019924,0.8079721111870788
