,DLP,VLP,MPC,OFC,M1,S1,A1,LTC,LPC,PCA,V1,V2
DLP,0.9999999999999999,0.9823310726028451,0.9912474130927881,0.9920747249191403,0.9854466079258856,0.9843544048350062,0.9833344168560628,0.9868190445316886,0.9880084592649209,0.9820505640990631,0.9682266541517984,0.9811548901814124
VLP,0.9823310726028451,1.0,0.991408172182481,0.994071227035012,0.9811565451265434,0.993642088400511,0.9928111887251264,0.9842300826990089,0.9909970316133627,0.9820906418052028,0.9684095015854098,0.9853980551176427
MPC,0.9912474130927881,0.991408172182481,0.9999999999999999,0.9976204869170562,0.9837608420127238,0.9897304084463748,0.9891936436092773,0.9937525263694315,0.9889717831727232,0.9824671200248574,0.9640042103285309,0.9795599179158792
OFC,0.9920747249191404,0.9940712270350119,0.9976204869170562,1.0,0.988352451131494,0.9927824054082424,0.9919393389599749,0.9925572559597375,0.9919756007463925,0.9863014449920261,0.9705240410294468,0.9846423408420705
M1,0.9854466079258856,0.9811565451265434,0.9837608420127238,0.9883524511314941,1.0,0.9887511615967323,0.9857495881138574,0.9875758023768028,0.9912821868414827,0.9875194441395839,0.9796620354578018,0.9882056771562706
S1,0.9843544048350061,0.993642088400511,0.9897304084463749,0.9927824054082423,0.9887511615967324,0.9999999999999999,0.9931739030951647,0.9880868607250657,0.9932914136985818,0.9858188465794777,0.9725287218696785,0.9886148663117232
A1,0.9833344168560628,0.9928111887251264,0.9891936436092773,0.9919393389599749,0.9857495881138575,0.9931739030951647,1.0,0.9854921336893983,0.9942897820420468,0.9896263546945411,0.9817156365855071,0.9922080337864222
LTC,0.9868190445316887,0.9842300826990088,0.9937525263694315,0.9925572559597375,0.9875758023768028,0.9880868607250658,0.9854921336893981,1.0,0.9860862130482869,0.9809981823738161,0.9637764104254153,0.9771652860876697
LPC,0.988008459264921,0.9909970316133627,0.9889717831727232,0.9919756007463926,0.9912821868414827,0.9932914136985818,0.9942897820420468,0.9860862130482869,1.0,0.9909437462498291,0.9827597710941759,0.9939126430949581
PCA,0.9820505640990631,0.9820906418052028,0.9824671200248575,0.9863014449920261,0.9875194441395838,0.9858188465794778,0.9896263546945412,0.9809981823738161,0.9909437462498291,0.9999999999999999,0.9782342196140639,0.9853860617937857
V1,0.9682266541517983,0.96840950158541,0.9640042103285308,0.9705240410294467,0.9796620354578018,0.9725287218696785,0.9817156365855071,0.9637764104254153,0.9827597710941759,0.9782342196140638,1.0,0.9893422065329665
V2,0.9811548901814123,0.9853980551176427,0.9795599179158792,0.9846423408420705,0.9882056771562705,0.9886148663117232,0.9922080337864222,0.9771652860876697,0.9939126430949581,0.9853860617937856,0.9893422065329665,1.0
