,DLP,VLP,MPC,OFC,LTC,LPC,PCA,M1,S1,A1,V1,V2
DLP,1.0,0.9817703948313323,0.9766539073104383,0.9894291092430251,0.9832338799461763,0.9882000277770462,0.9853874883174255,0.981693209188671,0.9812638644542937,0.983168755862379,0.945243185459737,0.9799442557009462
VLP,0.9817703948313324,1.0,0.9764934761271675,0.9894482260418311,0.9846177865458825,0.9912055729616626,0.9867722254345215,0.9759745066996758,0.9915868890749618,0.9924415146606256,0.9434058349212273,0.9810684113700933
MPC,0.9766539073104383,0.9764934761271674,0.9999999999999999,0.9930897224085492,0.9803138194887984,0.9772396236940135,0.9753464642516414,0.9689293365766136,0.9744081844460685,0.9744674812388929,0.9298919327035724,0.9641502623521124
OFC,0.989429109243025,0.9894482260418311,0.9930897224085492,1.0,0.991469895674601,0.9893443030178756,0.9882227489795766,0.9847994524174459,0.9878618289109301,0.9880753963425952,0.9470342858697872,0.9795292777213449
LTC,0.9832338799461764,0.9846177865458825,0.9803138194887984,0.991469895674601,1.0,0.986576885882243,0.9840621454012685,0.9850403962860099,0.9873901567576879,0.9858907501294396,0.9440591332510434,0.9760138220467632
LPC,0.9882000277770462,0.9912055729616627,0.9772396236940135,0.9893443030178756,0.986576885882243,0.9999999999999999,0.989602010090174,0.9879881921414778,0.9930490030664948,0.992698519209274,0.9511545689808618,0.9903047690331294
PCA,0.9853874883174255,0.9867722254345214,0.9753464642516414,0.9882227489795766,0.9840621454012685,0.9896020100901739,1.0,0.9827223102836194,0.988474243530561,0.9913707471205472,0.9544237416061044,0.9846613600828726
M1,0.9816932091886711,0.9759745066996758,0.9689293365766137,0.984799452417446,0.9850403962860099,0.9879881921414778,0.9827223102836196,1.0,0.9883194144139477,0.9825254197662762,0.9638164464225345,0.9892125530702947
S1,0.9812638644542936,0.9915868890749617,0.9744081844460685,0.9878618289109302,0.987390156757688,0.9930490030664948,0.9884742435305609,0.9883194144139477,1.0,0.9917843281743538,0.9495586623488537,0.9876443515699856
A1,0.9831687558623788,0.9924415146606256,0.974467481238893,0.9880753963425952,0.9858907501294396,0.992698519209274,0.9913707471205473,0.9825254197662762,0.9917843281743537,0.9999999999999999,0.9643880298329348,0.9907812967536316
V1,0.9452431854597368,0.9434058349212273,0.9298919327035723,0.9470342858697872,0.9440591332510435,0.9511545689808617,0.9544237416061045,0.9638164464225345,0.9495586623488538,0.9643880298329347,0.9999999999999999,0.9788297113862302
V2,0.9799442557009462,0.9810684113700933,0.9641502623521124,0.979529277721345,0.9760138220467632,0.9903047690331294,0.9846613600828726,0.9892125530702947,0.9876443515699858,0.9907812967536315,0.9788297113862303,1.0
