,DLP,VLP,MPC,OFC,LTC,LPC,PCA,M1,S1,A1,V1,V2
DLP,1.0,0.9820444070974216,0.9865061226079472,0.9888455243613664,0.9610337198032243,0.9789406790182055,0.9485086069669751,0.9570012315024883,0.9688353994002668,0.9645255691197699,0.9293300827712209,0.9586108496784529
VLP,0.9820444070974216,1.0,0.9860065457231727,0.9898299071756204,0.9556268985505348,0.9728714558080982,0.9494645906200767,0.9380307467107559,0.9678098021318,0.9711263548752564,0.9070805795861627,0.9468628060410756
MPC,0.9865061226079472,0.9860065457231727,1.0,0.996389015494426,0.9640811879576898,0.9597039236900766,0.9462056764769312,0.9388920017002186,0.9570932758288894,0.9611899083092521,0.9079079119443373,0.9337732449350731
OFC,0.9888455243613664,0.9898299071756202,0.996389015494426,0.9999999999999999,0.9630779601563515,0.9660998572479196,0.955226911461514,0.9471663872353989,0.9650911546993027,0.9661741533676633,0.914917626873097,0.9448976632139491
LTC,0.9610337198032242,0.955626898550535,0.9640811879576897,0.9630779601563514,0.9999999999999999,0.9504057447007057,0.9214286174099233,0.9403652471289345,0.9595237329388062,0.9640413719366044,0.9001791253348207,0.9314558349054515
LPC,0.9789406790182055,0.9728714558080981,0.9597039236900767,0.9660998572479196,0.9504057447007057,1.0,0.956762338214752,0.9520927690489746,0.9709581084402364,0.9783502459534159,0.9436762910363461,0.9781994908699659
PCA,0.9485086069669753,0.9494645906200767,0.9462056764769311,0.955226911461514,0.9214286174099233,0.956762338214752,0.9999999999999999,0.9464750054194109,0.9564234455813372,0.9586344499368393,0.9409174860436736,0.9556960004293559
M1,0.9570012315024883,0.9380307467107559,0.9388920017002186,0.9471663872353989,0.9403652471289345,0.9520927690489747,0.9464750054194109,0.9999999999999999,0.982901120492633,0.9438980839029985,0.9496714081608523,0.9708678196804762
S1,0.9688353994002666,0.9678098021318,0.9570932758288894,0.9650911546993026,0.9595237329388062,0.9709581084402364,0.9564234455813373,0.982901120492633,1.0,0.962765518076523,0.9423466515450045,0.9778588780127515
A1,0.96452556911977,0.9711263548752564,0.9611899083092521,0.9661741533676632,0.9640413719366044,0.9783502459534158,0.9586344499368392,0.9438980839029983,0.962765518076523,0.9999999999999999,0.9365230516394075,0.9595390159573464
V1,0.9293300827712209,0.9070805795861626,0.9079079119443374,0.9149176268730969,0.9001791253348207,0.9436762910363461,0.9409174860436736,0.9496714081608523,0.9423466515450047,0.9365230516394075,1.0,0.9740854253487582
V2,0.958610849678453,0.9468628060410756,0.933773244935073,0.9448976632139491,0.9314558349054515,0.9781994908699659,0.955696000429356,0.9708678196804762,0.9778588780127515,0.9595390159573463,0.9740854253487581,0.9999999999999999
