,DLP,VLP,MPC,OFC,LTC,LPC,PCA,M1,S1,A1,V1,V2
DLP,1.0,0.8756437335095975,0.9738786826858922,0.9606249047140835,0.9608814560490744,0.9097582663768289,0.6504725990501581,0.874413289778057,0.9086124572549994,0.9126890535837366,0.8397940016541425,0.809962557834255
VLP,0.8756437335095976,1.0,0.8852396524521694,0.947357073281515,0.8562483906375757,0.9373109148109955,0.8598551538246029,0.9490876668793431,0.9581348284269563,0.9467315493670523,0.9417525953850776,0.9039737479276495
MPC,0.9738786826858922,0.8852396524521694,1.0,0.9680967306673774,0.9686119661582452,0.8872256430537955,0.6430913911129544,0.887040964717206,0.9125575909989933,0.9072742828177067,0.8394085317178778,0.7824750014098129
OFC,0.9606249047140836,0.9473570732815151,0.9680967306673774,1.0,0.9459286475235749,0.9436771251280716,0.7701402273743793,0.9426990975060439,0.95952057164195,0.9496967981557468,0.9113875126623694,0.868900002383295
LTC,0.9608814560490744,0.8562483906375757,0.9686119661582452,0.9459286475235749,1.0,0.850032050604109,0.6120023754483911,0.8884236867007065,0.9087593617365385,0.8750834663452769,0.8011752469334625,0.7337435305644786
LPC,0.909758266376829,0.9373109148109955,0.8872256430537955,0.9436771251280716,0.8500320506041091,0.9999999999999999,0.8349002332504566,0.8975098376912384,0.9352584146928572,0.9715223787816235,0.9559282350333154,0.9573653915008326
PCA,0.6504725990501581,0.8598551538246029,0.6430913911129544,0.7701402273743793,0.6120023754483911,0.8349002332504566,1.0,0.8143304615926021,0.7911410184344587,0.8158246113630854,0.8886871142165974,0.8751356963308534
M1,0.874413289778057,0.949087666879343,0.887040964717206,0.9426990975060439,0.8884236867007064,0.8975098376912383,0.814330461592602,0.9999999999999999,0.9685371703162536,0.9037421771148841,0.9153634278498318,0.8499293376653183
S1,0.9086124572549994,0.9581348284269563,0.9125575909989934,0.9595205716419501,0.9087593617365384,0.9352584146928571,0.7911410184344588,0.9685371703162537,1.0,0.9439688349071559,0.9103472727541457,0.865885051193129
A1,0.9126890535837366,0.9467315493670522,0.9072742828177067,0.9496967981557468,0.8750834663452768,0.9715223787816235,0.8158246113630854,0.9037421771148842,0.9439688349071559,1.0,0.9460385912746595,0.9234184862760889
V1,0.8397940016541425,0.9417525953850775,0.8394085317178777,0.9113875126623694,0.8011752469334626,0.9559282350333154,0.8886871142165973,0.9153634278498319,0.9103472727541457,0.9460385912746596,1.0,0.9609740718549379
V2,0.8099625578342549,0.9039737479276494,0.7824750014098129,0.868900002383295,0.7337435305644786,0.9573653915008326,0.8751356963308533,0.8499293376653182,0.8658850511931289,0.9234184862760888,0.9609740718549379,0.9999999999999999
