,DLP,VLP,MPC,OFC,LTC,LPC,PCA,M1,S1,A1,V1,V2
DLP,1.0,0.9788712141631636,0.9872790460979799,0.9897310978951982,0.9679124922993906,0.9668954772683597,0.9693208500444335,0.9558441197571101,0.9568073463994089,0.9564445424742006,0.8741511529845968,0.9288638142811131
VLP,0.9788712141631636,0.9999999999999999,0.9869883587004257,0.9921412475826928,0.975351022559324,0.9818388298906902,0.9751426150028739,0.9630073190546264,0.9800069530740825,0.9753961387404527,0.8805938647062669,0.9422646251140039
MPC,0.9872790460979798,0.9869883587004258,1.0,0.9977250906067946,0.9811532472208918,0.9638017442170359,0.9635026223849772,0.945662995466791,0.9612799363265114,0.9615986985278675,0.8558112246227424,0.9131157938011121
OFC,0.9897310978951982,0.9921412475826928,0.9977250906067945,1.0,0.9814688398342496,0.9709458018913076,0.9720063569150962,0.9554518123707414,0.969230165140606,0.9681631517425039,0.8681671656228488,0.9258956251208552
LTC,0.9679124922993906,0.975351022559324,0.9811532472208918,0.9814688398342496,1.0,0.9649143846927778,0.9563015713046313,0.9504639057216691,0.9693096650979607,0.9759404081419644,0.8691473422652812,0.921196939197262
LPC,0.9668954772683597,0.9818388298906902,0.9638017442170359,0.9709458018913076,0.9649143846927779,1.0,0.9816939914884045,0.9789481820131731,0.9852821905413002,0.9809857812452188,0.9153722490028869,0.9752979829802083
PCA,0.9693208500444335,0.9751426150028739,0.9635026223849772,0.9720063569150962,0.9563015713046313,0.9816939914884045,1.0,0.9675795304088863,0.9747499237564913,0.9737986041944188,0.9079996205559672,0.9577648404420523
M1,0.9558441197571101,0.9630073190546264,0.945662995466791,0.9554518123707415,0.9504639057216691,0.978948182013173,0.9675795304088864,1.0,0.9866001214410073,0.9723399335049194,0.9266756261743628,0.9672192525261899
S1,0.9568073463994089,0.9800069530740825,0.9612799363265115,0.969230165140606,0.9693096650979607,0.9852821905413002,0.9747499237564913,0.9866001214410073,1.0,0.9821501704273387,0.9075253435324167,0.9627456668591678
A1,0.9564445424742006,0.9753961387404528,0.9615986985278675,0.9681631517425038,0.9759404081419644,0.9809857812452187,0.9737986041944189,0.9723399335049194,0.9821501704273387,1.0,0.920302720674352,0.9624562375855965
V1,0.8741511529845967,0.8805938647062669,0.8558112246227424,0.8681671656228488,0.8691473422652811,0.9153722490028868,0.9079996205559672,0.9266756261743628,0.9075253435324168,0.9203027206743519,1.0,0.9691215130414382
V2,0.928863814281113,0.9422646251140039,0.9131157938011121,0.9258956251208552,0.9211969391972621,0.9752979829802083,0.9577648404420522,0.9672192525261898,0.9627456668591678,0.9624562375855965,0.9691215130414382,1.0
