,DLP,VLP,MPC,OFC,LTC,LPC,PCA,M1,S1,A1,V1,V2
DLP,0.9999999999999998,0.9526468123850219,0.9713648851945136,0.9739638881813779,0.9570013124700741,0.9621313427295932,0.9375893649977661,0.9521757233214434,0.9491265837856879,0.9567904562766427,0.9097878290488801,0.9521801455713559
VLP,0.952646812385022,1.0,0.9646935658436488,0.97521890164062,0.945117470859298,0.9721859110374681,0.9569656219789474,0.9286522432747611,0.971762353839139,0.9810695569382618,0.8985076673846122,0.9215465890639907
MPC,0.9713648851945136,0.9646935658436487,0.9999999999999999,0.9937043868204978,0.9799220194260951,0.9567989664941497,0.9538932063019686,0.9608021437187445,0.9678405214576237,0.9695474147890125,0.9234403668033424,0.9449388852508611
OFC,0.9739638881813778,0.97521890164062,0.9937043868204978,1.0,0.977946745701239,0.9630406031627575,0.9656927186193986,0.9597810551183891,0.9718530891513454,0.9784224708549705,0.9272422925502689,0.9458094812237824
LTC,0.9570013124700741,0.9451174708592981,0.9799220194260951,0.977946745701239,1.0,0.9376829194269322,0.940421660439733,0.9622711017568437,0.9573530427563588,0.9595331143763316,0.9271533772051085,0.9461193466555781
LPC,0.9621313427295932,0.9721859110374681,0.9567989664941497,0.9630406031627575,0.9376829194269322,0.9999999999999999,0.9420181203786421,0.946058008653373,0.9742383175067211,0.9779767444528805,0.9227792892049856,0.9524217622354001
PCA,0.9375893649977661,0.9569656219789474,0.9538932063019687,0.9656927186193986,0.9404216604397329,0.942018120378642,1.0,0.9350669706566603,0.9570622738972454,0.9742714483884095,0.9270159706677719,0.9224003276322537
M1,0.9521757233214433,0.9286522432747611,0.9608021437187445,0.9597810551183891,0.9622711017568436,0.946058008653373,0.9350669706566603,1.0,0.9657342131624648,0.9503687610914356,0.9584331026471536,0.972422833418721
S1,0.949126583785688,0.971762353839139,0.9678405214576237,0.9718530891513453,0.9573530427563588,0.974238317506721,0.9570622738972454,0.9657342131624647,0.9999999999999998,0.9816500041913097,0.9425090694788922,0.9529476533536371
A1,0.9567904562766427,0.9810695569382617,0.9695474147890125,0.9784224708549705,0.9595331143763316,0.9779767444528806,0.9742714483884095,0.9503687610914356,0.9816500041913097,1.0,0.9359199746076027,0.9429400298056874
V1,0.9097878290488801,0.8985076673846121,0.9234403668033424,0.927242292550269,0.9271533772051086,0.9227792892049856,0.9270159706677719,0.9584331026471538,0.9425090694788923,0.9359199746076025,0.9999999999999999,0.9680788489066233
V2,0.952180145571356,0.9215465890639906,0.944938885250861,0.9458094812237825,0.9461193466555781,0.9524217622354001,0.9224003276322537,0.9724228334187212,0.9529476533536371,0.9429400298056875,0.9680788489066234,0.9999999999999999
