,DLP,VLP,MPC,OFC,M1,S1,A1,LTC,LPC,PCA,V1,V2
DLP,1.0,0.98837797876387,0.9971820559358873,0.9965160464515063,0.9962152870927409,0.9932787923342087,0.9946186523807118,0.9955857892758678,0.9948062088231951,0.9902719672078796,0.9910692632879917,0.9954668061510055
VLP,0.98837797876387,0.9999999999999998,0.9926183809100749,0.9937844083212464,0.9834157067362654,0.992872929532619,0.9939876853022466,0.9868489410589194,0.9930676518460277,0.9892188994804292,0.9815114125374241,0.9866832001585912
MPC,0.9971820559358873,0.992618380910075,1.0,0.9988113495885536,0.9938960138367832,0.9939763675804201,0.9947859033034522,0.9957962683291068,0.9937587451108874,0.9918904628855509,0.9887436618764419,0.9920905664139404
OFC,0.9965160464515063,0.9937844083212464,0.9988113495885536,1.0,0.9941721807119878,0.9948414311695953,0.9956848732497331,0.9951043340779424,0.9937588805565098,0.9926216262691011,0.9896436898789012,0.9927540412751135
M1,0.9962152870927409,0.9834157067362653,0.9938960138367832,0.9941721807119879,1.0,0.9940657634213579,0.991976050675167,0.9938302868872507,0.9916787673026888,0.9902500341739809,0.9939762154333461,0.995485463855682
S1,0.9932787923342086,0.992872929532619,0.9939763675804203,0.9948414311695953,0.9940657634213579,1.0,0.9953612434561523,0.992800181245722,0.994621595029072,0.9922265620779708,0.9902171703661268,0.9935299851451271
A1,0.9946186523807118,0.9939876853022465,0.9947859033034521,0.995684873249733,0.9919760506751669,0.9953612434561522,1.0,0.992900578596281,0.9974399508313294,0.9934376029387793,0.9910685820406986,0.9954744424994306
LTC,0.9955857892758677,0.9868489410589193,0.9957962683291071,0.9951043340779425,0.9938302868872507,0.992800181245722,0.9929005785962811,1.0,0.9910506931930697,0.9888912848165694,0.9868766021819932,0.9913655980316065
LPC,0.9948062088231951,0.9930676518460277,0.9937587451108874,0.9937588805565098,0.9916787673026889,0.9946215950290721,0.9974399508313293,0.9910506931930697,1.0,0.9919007412936067,0.9911153068559303,0.9965668262183176
PCA,0.9902719672078795,0.9892188994804291,0.9918904628855508,0.9926216262691012,0.9902500341739809,0.9922265620779708,0.9934376029387793,0.9888912848165694,0.9919007412936067,1.0,0.9920628893837011,0.991417556212473
V1,0.9910692632879917,0.9815114125374242,0.9887436618764419,0.9896436898789012,0.9939762154333461,0.9902171703661268,0.9910685820406986,0.9868766021819931,0.9911153068559302,0.9920628893837011,1.0,0.9954709587138187
V2,0.9954668061510054,0.9866832001585912,0.9920905664139403,0.9927540412751135,0.9954854638556822,0.993529985145127,0.9954744424994306,0.9913655980316066,0.9965668262183175,0.991417556212473,0.9954709587138189,1.0
