,DLP,VLP,MPC,OFC,LTC,LPC,PCA,M1,S1,A1,V1,V2
DLP,1.0,0.9634147025711776,0.9539921531876919,0.9720903112488951,0.9444931672833644,0.9653786345862959,0.9443991373890563,0.9614481586278923,0.9534669555585541,0.9769070802047141,0.9701261430387795,0.9842140506291087
VLP,0.9634147025711777,1.0,0.9723350394578499,0.9765734440620737,0.9496580640672344,0.9555639411524348,0.9365625253884314,0.9028578494385383,0.9255122016164555,0.9833160891970918,0.93755998394167,0.9530879093568216
MPC,0.9539921531876917,0.9723350394578498,1.0,0.9940565617545493,0.9890840341191564,0.9000953165402306,0.8906353598667646,0.8657687360078815,0.8670047052571844,0.9588058244330646,0.9048566474338676,0.922933723710039
OFC,0.972090311248895,0.9765734440620737,0.9940565617545492,1.0,0.9845188306914955,0.9213691852305617,0.9105264006114238,0.8991034113957863,0.896455163185098,0.9701826170693192,0.9262637418517519,0.9451673455108605
LTC,0.9444931672833643,0.9496580640672344,0.9890840341191565,0.9845188306914955,1.0,0.8818924462575465,0.8675334498492995,0.8613501463711957,0.8521888556509191,0.9463744899187495,0.8921597227237251,0.9165763054354973
LPC,0.9653786345862958,0.9555639411524348,0.9000953165402307,0.9213691852305618,0.8818924462575465,1.0,0.9575047738573891,0.9591965225457887,0.9728565371936505,0.9712169775191578,0.970290476554898,0.9847431820725595
PCA,0.9443991373890565,0.9365625253884313,0.8906353598667646,0.9105264006114239,0.8675334498492995,0.9575047738573892,1.0,0.9349717053551573,0.9521329518020621,0.9545722489595627,0.960634333727042,0.9503246845955361
M1,0.9614481586278923,0.9028578494385384,0.8657687360078816,0.8991034113957863,0.8613501463711957,0.9591965225457887,0.9349717053551572,1.0,0.978804669811044,0.9358960493634486,0.9745557244778319,0.9786061792721353
S1,0.9534669555585541,0.9255122016164554,0.8670047052571844,0.8964551631850979,0.8521888556509191,0.9728565371936505,0.9521329518020621,0.978804669811044,1.0,0.9468758463596894,0.971572969954196,0.9725973029350178
A1,0.976907080204714,0.9833160891970918,0.9588058244330646,0.9701826170693192,0.9463744899187495,0.9712169775191579,0.9545722489595627,0.9358960493634486,0.9468758463596894,1.0,0.9627275000430159,0.9743129254923278
V1,0.9701261430387795,0.93755998394167,0.9048566474338675,0.9262637418517519,0.8921597227237252,0.970290476554898,0.960634333727042,0.9745557244778319,0.9715729699541958,0.9627275000430159,1.0,0.9824628812786991
V2,0.9842140506291086,0.9530879093568217,0.922933723710039,0.9451673455108605,0.9165763054354972,0.9847431820725595,0.9503246845955362,0.9786061792721353,0.9725973029350178,0.9743129254923278,0.9824628812786991,1.0
