,id,Age,Sex,Weight,wm,vh,etiv,gm
0,443,0.62,1,250,1.022649,0.698491,7.123,1.474844132348608
1,435,0.63,0,248,0.659663,0.434301,7.086,1.302712546994466
2,436,0.63,0,224,0.493342,0.325705,7.696,1.151169852380238
3,438,0.7,0,232,0.383715,0.212563,7.829,1.151272263973443
4,437,0.7,0,222,0.497321,0.294053,8.429,1.128087717095381
5,444,0.83,1,292,0.779884,0.504038,6.78,1.620003684572621
6,165,0.97,1,490,0.750592,0.383969,6.744,2.385052507124755
7,166,0.97,1,337,0.674924,0.358691,6.581,1.674908819816147
8,426,0.98,0,360,0.846222,0.461274,7.77,1.856086165354026
9,213,0.98,0,258,0.649141,0.300375,7.535,1.3593830870182644
10,143,0.98,1,330,0.73857,0.413256,7.325,1.6585109087056444
11,215,0.98,1,254,0.913059,0.420548,7.06,1.4326521897787343
12,194,0.98,1,274,0.558881,0.277247,7.381,1.3658488399172084
13,187,0.99,0,298,0.680451,0.365713,7.893,1.522554484976649
14,202,0.99,0,248,0.751511,0.379737,8.103,1.3510521017063892
15,400,0.99,1,354,0.666604,0.417082,7.266,1.7566687397964718
16,191,0.99,1,257,0.783241,0.415655,7.601,1.364685582264645
17,196,1.0,1,260,0.632425,0.348697,7.898,1.3512027679857848
18,197,1.0,1,333,0.788842,0.388902,7.206,1.6778339054593747
19,397,1.01,1,340,0.97694,0.408212,8.472,1.85689562265511
20,387,1.03,0,379,0.602569,0.340136,8.273,1.8562870569110936
21,423,1.03,1,345,0.673813,0.434248,8.232,1.7760897133891034
22,353,1.04,1,447,1.107999,0.51315,6.523,2.3123478147555288
23,333,1.04,0,339,0.882855,0.545146,7.798,1.7686159285625265
24,358,1.05,1,315,0.560516,0.456976,6.702,1.62674653662481
25,396,1.05,1,416,1.120642,0.521749,6.79,2.197198962350446
26,331,1.05,0,270,0.936945,0.844179,8.136,1.5392620589961437
27,214,1.06,1,235,0.639352,0.387785,7.87,1.2353349584150888
28,424,1.06,1,500,0.980003,0.423632,6.689,2.4820116534469703
29,350,1.06,1,483,0.769244,0.37098,7.109,2.331153182928164
30,283,1.07,1,340,0.640837,0.337703,8.322,1.702050625273285
31,365,1.09,0,311,0.997451,0.622251,6.921,1.7355667191311128
32,422,1.09,0,391,0.752227,0.341504,8.463,2.0157004612115377
33,366,1.09,1,325,0.371188,0.268715,7.165,1.5514681398002332
34,357,1.1,1,320,0.713027,0.617674,7.517,1.6509106101568334
35,60,1.11,1,320,0.633755,0.339995,6.872,1.5789407933601904
36,348,1.12,1,470,1.040297,0.477626,7.16,2.4000652478321123
37,356,1.13,1,355,0.525019,0.259096,7.35,1.6910129349521752
38,107,1.13,0,360,0.740173,0.374564,7.581,1.8052155743487543
39,339,1.2,1,499,0.713963,0.300512,6.898,2.3837507171308348
40,335,1.21,1,291,0.476931,0.25154,7.406,1.434464381742145
41,377,1.21,1,318,0.598018,0.319507,8.121,1.5886370180663156
42,367,1.23,0,237,0.817703,0.535867,8.049,1.3573366265162246
43,375,1.24,1,289,0.740823,0.454283,8.475,1.5182601859188838
44,374,1.24,0,392,0.814166,0.679427,7.873,1.9955067046084949
45,425,1.27,1,429,0.786893,0.480584,6.788,2.268015635000253
46,342,1.28,0,370,0.553579,0.269498,6.863,1.80673278775346
47,386,1.31,0,378,0.856117,0.388775,7.79,2.004308345374667
48,417,1.32,1,321,1.026122,0.597979,8.339,1.7430435687077717
49,416,1.33,1,325,1.108107,1.002545,7.916,1.803505051362122
50,385,1.33,1,307,0.840248,0.376055,8.416,1.6530563371629086
51,392,1.33,0,430,0.650895,0.288716,7.903,2.102275042384717
52,329,1.36,0,350,0.625673,0.321574,8.983,1.7442593881196848
53,338,1.36,0,528,1.000518,0.458304,6.976,2.653138581622925
54,412,1.36,1,289,0.000484,0.000484,9.22,1.4790789844532224
55,86,1.37,0,287,0.619828,0.2946,8.552,1.4715746644529837
56,378,1.38,1,259,0.552989,0.295984,8.169,1.3299766481286626
57,91,1.38,0,407,0.707852,0.318516,7.705,2.00126305413099
58,391,1.38,0,290,0.759919,0.388189,7.397,1.5306754501862023
59,411,1.41,1,272,0.867503,0.539179,8.713,1.5029835717863471
60,328,1.43,1,326,0.925796,0.415518,8.181,1.7272845260579013
61,373,1.45,1,305,0.281463,0.224389,7.199,1.4251589215360054
62,318,1.45,0,309,0.573226,0.250302,7.098,1.5447834166406915
63,379,1.47,1,251,0.812567,0.474487,8.984,1.3898971360732126
64,380,1.47,1,299,0.912751,0.62295,8.03,1.6093041881816486
65,167,1.47,0,505,0.794637,0.388934,7.24,2.441572898968975
66,345,1.47,1,454,0.734758,0.3209,7.15,2.2564211149664017
67,361,1.5,1,435,1.020035,0.56218,7.982,2.2428749254259053
68,313,1.51,0,302,0.755847,0.373958,7.47,1.5557890488648256
69,434,1.55,1,345,0.96767,0.459586,7.277,1.847928668991856
70,399,1.57,1,390,0.932185,0.527339,8.518,2.0204052122148406
71,398,1.57,1,360,1.045149,0.405267,8.391,1.9455763097633572
72,388,1.58,1,365,1.420812,0.592573,7.79,2.0362108453454373
73,409,1.59,0,327,1.002105,0.714967,8.283,1.7699118525237427
74,359,1.59,1,289,0.970134,0.452453,8.298,1.6157248912593285
75,410,1.6,0,324,0.436949,0.242586,7.42,1.7334044521184264
76,431,1.61,1,401,1.281285,0.586587,7.424,2.168213432465348
77,432,1.64,1,401,1.191242,0.438542,7.925,2.1536702868286417
78,384,1.66,0,334,0.927188,0.379661,7.844,1.8243290478270344
79,408,1.66,0,297,0.686729,0.279889,7.871,1.536883083897017
80,404,1.67,0,321,0.611327,0.347477,7.943,1.641071230536758
81,403,1.68,0,303,1.397055,0.767803,6.801,1.856319684033772
82,362,1.69,1,380,0.761232,0.359873,7.863,1.910460845388492
83,336,1.69,0,388,0.784842,0.317576,8.269,1.9401222918845091
84,337,1.69,0,310,0.724799,0.410464,8.418,1.6063885897055423
85,310,1.7,1,286,0.520807,0.395302,8.266,1.440104757808024
86,307,1.7,1,366,0.645578,0.299059,7.848,1.8073893540796409
87,149,1.73,1,459,0.66696,0.361584,7.914,2.1846047365761536
88,360,1.73,0,327,1.20931,0.698659,8.68,1.8395884874011972
89,92,1.76,1,464,0.821154,0.420743,8.743,2.269912640384599
90,433,1.76,1,379,1.46559,0.493931,7.768,2.093909824424046
91,395,1.77,1,295,1.193468,0.56807,7.407,1.6968317098587873
92,394,1.77,1,287,1.10036,0.664815,7.486,1.6811371229214935
93,158,1.78,0,312,0.652315,0.314303,7.785,1.5474544917995885
94,402,1.79,1,385,0.930926,0.763122,7.361,2.035681842751715
95,150,1.79,1,458,0.649089,0.351355,8.534,2.1995340322647263
96,405,1.81,1,349,0.738476,0.391691,7.169,1.7867018220629352
97,90,1.81,1,382,0.731421,0.378927,8.222,1.8658429621048631
98,308,1.81,1,471,1.611181,0.602238,7.15,2.6487929382899855
99,368,1.82,1,259,0.706895,0.538091,8.386,1.3323451999915057
100,168,1.83,0,304,1.028228,0.489233,7.28,1.671419179013762
101,401,1.83,1,390,1.228112,0.480594,7.729,2.068023954622116
102,340,1.84,0,287,0.963387,0.711609,8.911,1.5976060013230122
103,341,1.84,0,323,1.105095,0.897281,9.079,1.7833234019121282
104,430,1.85,1,395,0.990261,0.442987,7.223,2.0597427600035183
105,351,1.86,0,402,1.108788,0.468262,8.014,2.132131935313395
106,1,1.88,1,300,0.608675,0.306999,8.549,1.5033785862183469
107,2,1.88,1,305,0.618525,0.308114,8.911,1.5214136658541215
108,157,1.88,1,419,1.172259,0.56292,7.771,2.1635957035154982
109,393,1.89,1,278,1.244962,0.630227,8.44,1.6376047525027049
110,309,1.89,0,400,1.201196,0.574887,7.702,2.186366516918575
111,64,1.89,0,394,0.64587,0.299475,8.721,1.9270005508758776
112,428,1.89,0,418,0.782303,0.381495,8.225,2.0588096342936937
113,146,1.9,1,331,0.865502,0.425878,7.791,1.714437477089665
114,429,1.9,1,347,1.01412,0.358651,7.979,1.83806284618443
115,390,1.9,1,357,0.979908,0.418987,8.196,1.9587762680168064
116,332,1.91,1,438,0.856969,0.392049,7.752,2.226832693427776
117,381,1.92,1,300,0.90768,0.430797,7.802,1.616531211018095
118,352,1.92,1,396,1.407812,0.651818,8.073,2.208496971148084
119,427,1.93,0,321,1.701781,0.721162,8.691,2.0335553165177194
120,151,1.94,0,272,0.929111,0.398891,7.908,1.4840196740042415
121,72,1.95,1,406,0.713047,0.332285,7.681,2.0196868364508904
122,100,1.96,0,413,0.752818,0.361187,7.152,2.037119825548045
123,8,1.98,1,272,0.742069,0.369964,9.014,1.4530719946685469
124,295,1.98,1,300,0.892547,0.507045,8.19,1.5632224546030238
125,355,1.98,1,396,1.296112,0.642607,7.958,2.250958088584017
126,170,1.99,0,284,0.809117,0.325864,8.178,1.5219087654848775
127,7,2.0,1,290,0.980666,0.445339,9.607,1.6137107456186417
128,3,2.0,1,318,0.950788,0.436725,9.924,1.7672016215528588
129,169,2.01,1,285,1.242193,0.526632,7.4,1.6460412316078958
130,306,2.01,0,334,1.082863,0.900883,7.757,1.810106517541478
131,383,2.01,0,305,1.485485,0.650951,8.538,1.960527212958771
132,4,2.01,1,283,0.691421,0.344253,8.495,1.4872208016014898
133,101,2.02,1,368,1.135328,0.504697,8.105,1.9890317545105447
134,148,2.02,0,282,0.922549,0.478085,8.613,1.5426557256217228
135,147,2.02,1,288,0.806876,0.391536,8.437,1.5032091605006055
136,304,2.04,0,309,1.78311,1.155384,8.987,1.944606529279417
137,344,2.06,0,322,0.820998,0.460098,8.698,1.7180701348711969
138,369,2.07,1,334,1.1736,0.554396,8.317,1.8162863666963855
139,382,2.08,0,284,1.050122,0.410342,8.447,1.6551001824821443
140,389,2.09,1,331,0.965645,0.620093,8.76,1.769784517551917
141,407,2.1,1,324,0.916166,0.604318,8.236,1.7369332472116683
142,145,2.11,1,339,1.05654,0.561462,8.55,1.7921631466254304
143,376,2.11,1,320,1.364336,0.536229,9.23,1.9253457398635752
144,5,2.12,1,334,0.804977,0.380932,7.628,1.7232069836378352
145,372,2.13,0,304,1.872275,0.887751,8.017,2.0161818437741994
